Crash ID,$1000 Damage to Any One Person's Property,Active School Zone Flag,Agency,At Intersection Flag,Construction Zone Flag,Construction Zone Workers Present Flag,Crash Death Count,Crash Incapacitating Injury Count,Crash Non-incapacitating Injury Count,Crash Not Injured Count,Crash Possible Injury Count,Crash Severity,Crash Time,Crash Total Injury Count,Crash Unknown Injury Count,Crash Year,Day of Week,First Harmful Event,Intersection Related,Latitude,Light Condition,Longitude,Manner of Collision,Other Factor,Physical Feature 1,Private Drive Flag,Property Damages,Road Class,Roadway Alignment,Roadway Part,Roadway Relation,Speed Limit,Street Name,Street Number,Surface Condition,Traffic Control Type,Weather Condition,Person Helmet,MercatorX,MercatorY
11243623,False,False,Austin Police Department,False,False,No,0,1,0,0,0,Incapacitating Injury,02:39:00,1,1,2010,Friday,Pedalcyclist,Non Intersection,30.28608823,"Dark, Lighted",-97.6805777,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,Farm To Market,"Straight, Hillcrest",Main/Proper Lane,On Roadway,45,FM0969,4716,Dry,Marked Lanes,Clear,"Worn, Damaged",-10873752.169956794,3540377.0797006357
12112069,False,False,Austin Police Department,False,False,No,0,0,2,1,0,Non-Incapacitating Injury,03:10:00,2,1,2010,Friday,Pedalcyclist,Non Intersection,30.25524478,"Dark, Lighted",-97.74505246,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,35,E RIVERSIDE DR,200,Dry,Center Stripe/Divider,Clear,Not Worn,-10880929.467409013,3536401.5544813476
11376123,False,False,Austin Police Department,False,False,No,0,0,1,1,0,Non-Incapacitating Injury,23:00:00,1,0,2010,Monday,Pedalcyclist,Intersection Related,30.27959299,"Dark, Not Lighted",-97.70207457,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,45,SL0111,1487,Dry,None,Clear,Not Worn,-10876145.19057884,3539539.7805900057
11318193,False,False,Austin Police Department,False,False,No,0,0,1,2,0,Non-Incapacitating Injury,17:15:00,1,0,2010,Thursday,Pedalcyclist,Intersection Related,30.28157205,Daylight,-97.74142165,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,35,W MARTIN LUTHER KING JR BLVD,398,Dry,Marked Lanes,Clear,"Worn, Unk Damage",-10880525.287488645,3539794.894649336
11286981,False,False,Austin Police Department,True,False,No,0,0,1,0,0,Non-Incapacitating Injury,18:26:00,1,1,2010,Tuesday,Pedalcyclist,Intersection,30.23811479,"Dark, Lighted",-97.78856245,One Motor Vehicle - Turning Left,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,30,VICTORY DR,3801,Dry,Stop Sign,Clear,Not Worn,-10885772.977340233,3534194.1465584333
11385048,False,False,Austin Police Department,False,False,No,0,0,0,1,1,Possible Injury,21:04:00,1,0,2010,Thursday,Pedalcyclist,Non Intersection,30.2476193,"Dark, Lighted",-97.77293717,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,BICYCLE,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,40,SL0343,2199,Wet,None,Rain,Not Worn,-10884033.579127131,3535418.870949523
11385175,False,False,Austin Police Department,True,False,No,0,0,0,1,1,Possible Injury,18:14:00,1,0,2010,Wednesday,Pedalcyclist,Intersection,30.1984497,Dusk,-97.76409913,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,Interstate,"Straight, Hillcrest",Service/Frontage Road,On Roadway,50,IH0035,NO DATA,Dry,Signal Light,Cloudy,Unknown If Worn,-10883049.73301472,3529084.2924383064
12109691,True,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,11:24:00,1,0,2010,Saturday,Pedalcyclist,Intersection,30.33047467,Daylight,-97.80934279,One Motor Vehicle - Turning Right,Not Applicable,Not Applicable,False,NONE,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,55,SL0360,NO DATA,Dry,Stop Sign,Clear,"Worn, Not Damaged",-10888086.234207544,3546100.4049148085
11275770,False,False,Austin Police Department,False,False,No,0,0,0,1,1,Possible Injury,17:39:00,1,0,2010,Tuesday,Pedalcyclist,Non Intersection,30.37247755,Daylight,-97.72483975,One Motor Vehicle - Going Straight,Not Applicable,In A Parking Lot,True,NONE,US & State Highways,"Straight, Grade",Service/Frontage Road,Not Applicable,55,US0183,NO DATA,Dry,None,Clear,Not Worn,-10878679.39882426,3551518.775813201
11318186,False,False,Austin Police Department,True,False,No,0,0,1,1,0,Non-Incapacitating Injury,16:18:00,1,0,2010,Wednesday,Pedalcyclist,Intersection,30.28396478,Daylight,-97.74401246,One Motor Vehicle - Going Straight,Not Applicable,Not Applicable,False,NONE,City Street,"Straight, Level",Main/Proper Lane,On Roadway,30,NUECES ST,2099,Dry,Stop Sign,Clear,Not Worn,-10880813.695138587,3540103.340407352
