Crash ID,$1000 Damage to Any One Person's Property,Active School Zone Flag,Adjusted Average Daily Traffic Amount,Agency,At Intersection Flag,Average Daily Traffic Amount,Average Daily Traffic Year,Case ID,Construction Zone Flag,Construction Zone Workers Present Flag,Crash Death Count,Crash Incapacitating Injury Count,Crash Non-incapacitating Injury Count,Crash Not Injured Count,Crash Possible Injury Count,Crash Severity,Crash Time,Crash Total Injury Count,Crash Unknown Injury Count,Crash Year,Day of Week,First Harmful Event,Highway System,Intersecting Street Name,Intersection Related,Latitude,Light Condition,Longitude,Manner of Collision,Number of Lanes,Other Factor,Outside Shoulder Width on Divided Highway,Physical Feature 1,Private Drive Flag,Property Damages,Right of Way Usual Width,Road Class,Roadway Alignment,Roadway Part,Roadway Relation,Roadway Type,Speed Limit,Street Name,Street Number,Surface Condition,Traffic Control Type,Weather Condition,Person Helmet
11243623,False,False,15262,Austin Police Department,False,15262,2014,100010723,False,No,0,1,0,0,0,Incapacitating Injury,239,1,1,2010,Friday,Pedalcyclist,Farm To Market,,Non Intersection,30.28608823,"Dark, Lighted",-97.6805777,One Motor Vehicle - Going Straight,4,Not Applicable,0,Not Applicable,False,NONE,100,Farm To Market,"Straight, Hillcrest",Main/Proper Lane,On Roadway,"4 Or More Lanes, Undivided",45,FM0969,4716,Dry,Marked Lanes,Clear,"Worn, Damaged"
12112069,False,False,,Austin Police Department,False,,,100010834,False,No,0,0,2,1,0,Non-Incapacitating Injury,310,2,1,2010,Friday,Pedalcyclist,,,Non Intersection,30.25524478,"Dark, Lighted",-97.74505246,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,E RIVERSIDE DR,200,Dry,Center Stripe/Divider,Clear,Not Worn
12112069,False,False,,Austin Police Department,False,,,100010834,False,No,0,0,2,1,0,Non-Incapacitating Injury,310,2,1,2010,Friday,Pedalcyclist,,,Non Intersection,30.25524478,"Dark, Lighted",-97.74505246,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,E RIVERSIDE DR,200,Dry,Center Stripe/Divider,Clear,Not Worn
12112069,False,False,,Austin Police Department,False,,,100010834,False,No,0,0,2,1,0,Non-Incapacitating Injury,310,2,1,2010,Friday,Pedalcyclist,,,Non Intersection,30.25524478,"Dark, Lighted",-97.74505246,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,35,E RIVERSIDE DR,200,Dry,Center Stripe/Divider,Clear,Not Worn
11376123,False,False,22775,Austin Police Department,False,22775,2014,100042009,False,No,0,0,1,1,0,Non-Incapacitating Injury,2300,1,0,2010,Monday,Pedalcyclist,State Loop,E 16TH ST,Intersection Related,30.27959299,"Dark, Not Lighted",-97.70207457,One Motor Vehicle - Going Straight,4,Not Applicable,2,Not Applicable,False,NONE,160,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Undivided",45,SL0111,1487,Dry,None,Clear,Not Worn
11243620,False,False,,Austin Police Department,True,,,10-0061060,False,No,0,0,1,1,0,Non-Incapacitating Injury,1408,1,0,2010,Wednesday,Pedalcyclist,State Loop,,Driveway Access,,Daylight,,One Motor Vehicle - Turning Left,,One Vehicle Leaving Driveway,,Entrance To Or Exit From Private Property Or Driveway,False,NONE,,US & State Highways,"Straight, Grade",Main/Proper Lane,On Roadway,,0,SL0343,,Wet,Signal Light,Rain,Not Worn
11318193,False,False,,Austin Police Department,False,,,10-0071356,False,No,0,0,1,2,0,Non-Incapacitating Injury,1715,1,0,2010,Thursday,Pedalcyclist,,GUADALUPE ST,Intersection Related,30.28157205,Daylight,-97.74142165,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,,35,W MARTIN LUTHER KING JR BLVD,398,Dry,Marked Lanes,Clear,"Worn, Unk Damage"
11286981,False,False,,Austin Police Department,True,,,10-0121684,False,No,0,0,1,0,0,Non-Incapacitating Injury,1826,1,1,2010,Tuesday,Pedalcyclist,,UNKNOWN,Intersection,30.23811479,"Dark, Lighted",-97.78856245,One Motor Vehicle - Turning Left,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,30,VICTORY DR,3801,Dry,Stop Sign,Clear,Not Worn
11385048,False,False,34215,Austin Police Department,False,34215,2014,10-0141831,False,No,0,0,0,1,1,Possible Injury,2104,1,0,2010,Thursday,Pedalcyclist,State Loop,,Non Intersection,30.2476193,"Dark, Lighted",-97.77293717,One Motor Vehicle - Going Straight,4,Not Applicable,0,Not Applicable,False,BICYCLE,80,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Undivided",40,SL0343,2199,Wet,None,Rain,Not Worn
11385175,False,False,160919,Austin Police Department,True,160919,2014,100201672,False,No,0,0,0,1,1,Possible Injury,1814,1,0,2010,Wednesday,Pedalcyclist,Interstate,US0290,Intersection,30.1984497,Dusk,-97.76409913,One Motor Vehicle - Going Straight,6,Not Applicable,10,Not Applicable,False,NONE,300,Interstate,"Straight, Hillcrest",Service/Frontage Road,On Roadway,"4 Or More Lanes, Divided",50,IH0035,,Dry,Signal Light,Cloudy,Unknown If Worn
12109691,True,False,44866,Austin Police Department,True,44866,2014,100230968,False,No,0,0,1,1,0,Non-Incapacitating Injury,1124,1,0,2010,Saturday,Pedalcyclist,State Loop,RM2222,Intersection,30.33047467,Daylight,-97.80934279,One Motor Vehicle - Turning Right,4,Not Applicable,10,Not Applicable,False,NONE,350,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Divided",55,SL0360,,Dry,Stop Sign,Clear,"Worn, Not Damaged"
12111913,True,False,,Austin Police Department,True,,,100231476,False,No,0,0,3,1,0,Non-Incapacitating Injury,1605,3,0,2010,Saturday,Motor Vehicle In Transport,State Highway,VICTORY DR,Intersection,,Daylight,,Angle - Both Going Straight,,Not Applicable,,Not Applicable,False,"ELECTRONIC PEDESTRIAN SIGNAL, FIRE HYDRANT",,US & State Highways,"Straight, Level",Service/Frontage Road,On Roadway,,35,SH0290,,Dry,Signal Light,Clear,Not Worn
11275770,False,False,115456,Austin Police Department,False,115456,2014,10-0261592,False,No,0,0,0,1,1,Possible Injury,1739,1,0,2010,Tuesday,Pedalcyclist,US Highway,,Non Intersection,30.37247755,Daylight,-97.72483975,One Motor Vehicle - Going Straight,6,Not Applicable,10,In A Parking Lot,True,NONE,260,US & State Highways,"Straight, Grade",Service/Frontage Road,Not Applicable,"4 Or More Lanes, Divided",55,US0183,,Dry,None,Clear,Not Worn
11167757,False,False,,Austin Police Department,False,,,10-0271206,False,No,0,0,1,1,0,Non-Incapacitating Injury,1435,1,0,2010,Wednesday,Pedalcyclist,,,Driveway Access,,Daylight,,One Motor Vehicle - Going Straight,,One Vehicle Leaving Driveway,,Private Drive Or Road,True,NONE,,Non Trafficway,"Straight, Grade",Other (Explain In Narrative),Not Applicable,,0,METRIC BLVD,,Dry,Stop Sign,Cloudy,Not Worn
11318186,False,False,,Austin Police Department,True,,,10-0271405,False,No,0,0,1,1,0,Non-Incapacitating Injury,1618,1,0,2010,Wednesday,Pedalcyclist,,W 21ST ST,Intersection,30.28396478,Daylight,-97.74401246,One Motor Vehicle - Going Straight,,Not Applicable,,Not Applicable,False,NONE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,30,NUECES ST,2099,Dry,Stop Sign,Clear,Not Worn
11259446,False,False,33647,Austin Police Department,False,33647,2014,100290334,False,No,0,0,0,0,1,Possible Injury,439,1,0,2010,Friday,Pedalcyclist,State Loop,,Non Intersection,30.26240035,"Dark, Lighted",-97.7579672,One Motor Vehicle - Going Straight,6,Not Applicable,0,Not Applicable,False,BICYCLE,120,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Divided",35,SL0343,,Wet,None,Rain,Not Worn
11275895,False,False,,Austin Police Department,True,,,100291520,False,No,0,0,1,1,0,Non-Incapacitating Injury,1742,1,0,2010,Friday,Pedalcyclist,,INDUSTRIAL BLVD,Intersection,30.22035479,Daylight,-97.76552246,One Motor Vehicle - Turning Left,,Not Applicable,,Not Applicable,False,BICYCLE,,City Street,"Straight, Level",Main/Proper Lane,On Roadway,,40,S CONGRESS AVE,4229,Dry,None,Cloudy,Not Worn
