Crash ID,$1000 Damage to Any One Person's Property,Active School Zone Flag,Adjusted Average Daily Traffic Amount,Agency,At Intersection Flag,Average Daily Traffic Amount,Average Daily Traffic Year,Case ID,City,Construction Zone Flag,Construction Zone Workers Present Flag,County,Crash Death Count,Crash Incapacitating Injury Count,Crash Non-incapacitating Injury Count,Crash Not Injured Count,Crash Possible Injury Count,Crash Severity,Crash Time,Crash Total Injury Count,Crash Unknown Injury Count,Crash Year,Day of Week,First Harmful Event,Highway System,Intersecting Street Name,Intersection Related,Latitude,Light Condition,Longitude,Manner of Collision,Number of Lanes,Other Factor,Outside Shoulder Width on Divided Highway,Physical Feature 1,Population Group,Private Drive Flag,Property Damages,Right of Way Usual Width,Road Class,Roadway Alignment,Roadway Part,Roadway Relation,Roadway Type,Speed Limit,Street Name,Street Number,Surface Condition,Traffic Control Type,Weather Condition,Person Helmet,Person Type
11243623,No,No,15262,Austin Police Department,FALSE,15262,2014,100010723,Austin,No,No,Travis,0,1,0,0,0,Incapacitating Injury,239,1,1,2010,Friday,Pedalcyclist,Farm To Market,N/A,Non Intersection,30.28608823,"Dark, Lighted",-97.6805777,One Motor Vehicle - Going Straight,4,Not Applicable,0,Not Applicable,"250,000 Pop And Over",No,NONE,100,Farm To Market,"Straight, Hillcrest",Main/Proper Lane,On Roadway,"4 Or More Lanes, Undivided",45,FM0969,4716,Dry,Marked Lanes,Clear,"Worn, Damaged",Pedalcyclist
12112069,No,No,No Data,Austin Police Department,FALSE,No Data,No Data,100010834,Austin,No,No,Travis,0,0,2,1,0,Non-Incapacitating Injury,310,2,1,2010,Friday,Pedalcyclist,No Data,N/A,Non Intersection,30.25524478,"Dark, Lighted",-97.74505246,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,35,E RIVERSIDE DR,200,Dry,Center Stripe/Divider,Clear,Not Worn,Pedalcyclist
12112069,No,No,No Data,Austin Police Department,FALSE,No Data,No Data,100010834,Austin,No,No,Travis,0,0,2,1,0,Non-Incapacitating Injury,310,2,1,2010,Friday,Pedalcyclist,No Data,N/A,Non Intersection,30.25524478,"Dark, Lighted",-97.74505246,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,35,E RIVERSIDE DR,200,Dry,Center Stripe/Divider,Clear,Not Worn,Pedalcyclist
12112069,No,No,No Data,Austin Police Department,FALSE,No Data,No Data,100010834,Austin,No,No,Travis,0,0,2,1,0,Non-Incapacitating Injury,310,2,1,2010,Friday,Pedalcyclist,No Data,N/A,Non Intersection,30.25524478,"Dark, Lighted",-97.74505246,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,35,E RIVERSIDE DR,200,Dry,Center Stripe/Divider,Clear,Not Worn,Pedalcyclist
11376123,No,No,22775,Austin Police Department,FALSE,22775,2014,100042009,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,2300,1,0,2010,Monday,Pedalcyclist,State Loop,E 16TH ST,Intersection Related,30.27959299,"Dark, Not Lighted",-97.70207457,One Motor Vehicle - Going Straight,4,Not Applicable,2,Not Applicable,"250,000 Pop And Over",No,NONE,160,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Undivided",45,SL0111,1487,Dry,None,Clear,Not Worn,Pedalcyclist
11243620,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,10-0061060,Austin,No,No,Travis,0,0,1,1,0,Non-Incapacitating Injury,1408,1,0,2010,Wednesday,Pedalcyclist,State Loop,N/A,Driveway Access,No Data,Daylight,No Data,One Motor Vehicle - Turning Left,No Data,One Vehicle Leaving Driveway,No Data,Entrance To Or Exit From Private Property Or Driveway,"250,000 Pop And Over",No,NONE,No Data,US & State Highways,"Straight, Grade",Main/Proper Lane,On Roadway,No Data,0,SL0343,NO DATA,Wet,Signal Light,Rain,Not Worn,Pedalcyclist
11318193,No,No,No Data,Austin Police Department,FALSE,No Data,No Data,10-0071356,Austin,No,No,Travis,0,0,1,2,0,Non-Incapacitating Injury,1715,1,0,2010,Thursday,Pedalcyclist,No Data,GUADALUPE ST,Intersection Related,30.28157205,Daylight,-97.74142165,One Motor Vehicle - Going Straight,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Grade",Main/Proper Lane,On Roadway,No Data,35,W MARTIN LUTHER KING JR BLVD,398,Dry,Marked Lanes,Clear,"Worn, Unk Damage",Pedalcyclist
11286981,No,No,No Data,Austin Police Department,TRUE,No Data,No Data,10-0121684,Austin,No,No,Travis,0,0,1,0,0,Non-Incapacitating Injury,1826,1,1,2010,Tuesday,Pedalcyclist,No Data,UNKNOWN,Intersection,30.23811479,"Dark, Lighted",-97.78856245,One Motor Vehicle - Turning Left,No Data,Not Applicable,No Data,Not Applicable,"250,000 Pop And Over",No,NONE,No Data,City Street,"Straight, Level",Main/Proper Lane,On Roadway,No Data,30,VICTORY DR,3801,Dry,Stop Sign,Clear,Not Worn,Pedalcyclist
11385048,No,No,34215,Austin Police Department,FALSE,34215,2014,10-0141831,Austin,No,No,Travis,0,0,0,1,1,Possible Injury,2104,1,0,2010,Thursday,Pedalcyclist,State Loop,N/A,Non Intersection,30.2476193,"Dark, Lighted",-97.77293717,One Motor Vehicle - Going Straight,4,Not Applicable,0,Not Applicable,"250,000 Pop And Over",No,BICYCLE,80,US & State Highways,"Straight, Level",Main/Proper Lane,On Roadway,"4 Or More Lanes, Undivided",40,SL0343,2199,Wet,None,Rain,Not Worn,Pedalcyclist
11385175,No,No,160919,Austin Police Department,TRUE,160919,2014,100201672,Austin,No,No,Travis,0,0,0,1,1,Possible Injury,1814,1,0,2010,Wednesday,Pedalcyclist,Interstate,US0290,Intersection,30.1984497,Dusk,-97.76409913,One Motor Vehicle - Going Straight,6,Not Applicable,10,Not Applicable,"250,000 Pop And Over",No,NONE,300,Interstate,"Straight, Hillcrest",Service/Frontage Road,On Roadway,"4 Or More Lanes, Divided",50,IH0035,NO DATA,Dry,Signal Light,Cloudy,Unknown If Worn,Pedalcyclist
